text,phonemes,soundex
"Peter Piper picked a peck of pickled peppers. A peck of pickled peppers Peter Piper picked. If Peter Piper picked a peck of pickled peppers, Where's the peck of pickled peppers Peter Piper picked?","[['P', 'IY1', 'T', 'ER0'], ['P', 'AY1', 'P', 'ER0'], ['P', 'IH1', 'K', 'T'], ['AH0'], ['P', 'EH1', 'K'], ['AH1', 'V'], ['P', 'IH1', 'K', 'AH0', 'L', 'D'], ['P', 'EH1', 'P', 'ER0', 'Z'], ['AH0'], ['P', 'EH1', 'K'], ['AH1', 'V'], ['P', 'IH1', 'K', 'AH0', 'L', 'D'], ['P', 'EH1', 'P', 'ER0', 'Z'], ['P', 'IY1', 'T', 'ER0'], ['P', 'AY1', 'P', 'ER0'], ['P', 'IH1', 'K', 'T'], ['IH1', 'F'], ['P', 'IY1', 'T', 'ER0'], ['P', 'AY1', 'P', 'ER0'], ['P', 'IH1', 'K', 'T'], ['AH0'], ['P', 'EH1', 'K'], ['AH1', 'V'], ['P', 'IH1', 'K', 'AH0', 'L', 'D'], ['P', 'EH1', 'P', 'ER0', 'Z'], ['W', 'EH1', 'R', 'Z'], ['DH', 'AH0'], ['P', 'EH1', 'K'], ['AH1', 'V'], ['P', 'IH1', 'K', 'AH0', 'L', 'D'], ['P', 'EH1', 'P', 'ER0', 'Z'], ['P', 'IY1', 'T', 'ER0'], ['P', 'AY1', 'P', 'ER0'], ['P', 'IH1', 'K', 'T']]","['P360', 'P160', 'P230', 'A000', 'P200', 'O100', 'P243', 'P162', 'A000', 'P200', 'O100', 'P243', 'P162', 'P360', 'P160', 'P230', 'I100', 'P360', 'P160', 'P230', 'A000', 'P200', 'O100', 'P243', 'P162', 'W620', 'T000', 'P200', 'O100', 'P243', 'P162', 'P360', 'P160', 'P230']"
"I saw Susie sitting in a shoe shine shop. Where she sits she shines, and where she shines she sits.","[['AY1'], ['S', 'AO1'], ['S', 'UW1', 'Z', 'IY0'], ['S', 'IH1', 'T', 'IH0', 'NG'], ['IH0', 'N'], ['AH0'], ['SH', 'UW1'], ['SH', 'AY1', 'N'], ['SH', 'AA1', 'P'], ['W', 'EH1', 'R'], ['SH', 'IY1'], ['S', 'IH1', 'T', 'S'], ['SH', 'IY1'], ['SH', 'AY1', 'N', 'Z'], ['AH0', 'N', 'D'], ['W', 'EH1', 'R'], ['SH', 'IY1'], ['SH', 'AY1', 'N', 'Z'], ['SH', 'IY1'], ['S', 'IH1', 'T', 'S']]","['I000', 'S000', 'S200', 'S352', 'I500', 'A000', 'S000', 'S500', 'S100', 'W600', 'S000', 'S320', 'S000', 'S520', 'A530', 'W600', 'S000', 'S520', 'S000', 'S320']"
How many boards Could the Mongols hoard If the Mongol hordes got bored?,"[['HH', 'AW1'], ['M', 'EH1', 'N', 'IY0'], ['B', 'AO1', 'R', 'D', 'Z'], ['K', 'UH1', 'D'], ['DH', 'AH0'], ['M', 'AA1', 'NG', 'G', 'AH0', 'L', 'Z'], ['HH', 'AO1', 'R', 'D'], ['IH1', 'F'], ['DH', 'AH0'], ['M', 'AA1', 'NG', 'G', 'AH0', 'L'], ['HH', 'AO1', 'R', 'D', 'Z'], ['G', 'AA1', 'T'], ['B', 'AO1', 'R', 'D']]","['H000', 'M500', 'B632', 'C430', 'T000', 'M524', 'H630', 'I100', 'T000', 'M524', 'H632', 'G300', 'B630']"
How can a clam cram in a clean cream can?,"[['HH', 'AW1'], ['K', 'AE1', 'N'], ['AH0'], ['K', 'L', 'AE1', 'M'], ['K', 'R', 'AE1', 'M'], ['IH0', 'N'], ['AH0'], ['K', 'L', 'IY1', 'N'], ['K', 'R', 'IY1', 'M'], ['K', 'AE1', 'N']]","['H000', 'C500', 'A000', 'C450', 'C650', 'I500', 'A000', 'C450', 'C650', 'C500']"
Send toast to ten tense stout saints' ten tall tents.,"[['S', 'EH1', 'N', 'D'], ['T', 'OW1', 'S', 'T'], ['T', 'UW1'], ['T', 'EH1', 'N'], ['T', 'EH1', 'N', 'S'], ['S', 'T', 'AW1', 'T'], ['S', 'EY1', 'N', 'T', 'S'], ['T', 'EH1', 'N'], ['T', 'AO1', 'L'], ['T', 'EH1', 'N', 'T', 'S']]","['S530', 'T230', 'T000', 'T500', 'T520', 'S330', 'S532', 'T500', 'T400', 'T532']"
"Denise sees the fleece, Denise sees the fleas. At least Denise could sneeze and feed and freeze the fleas.","[['D', 'IH0', 'N', 'IY1', 'S'], ['S', 'IY1', 'Z'], ['DH', 'AH0'], ['F', 'L', 'IY1', 'S'], ['D', 'IH0', 'N', 'IY1', 'S'], ['S', 'IY1', 'Z'], ['DH', 'AH0'], ['F', 'L', 'IY1', 'Z'], ['AE1', 'T'], ['L', 'IY1', 'S', 'T'], ['D', 'IH0', 'N', 'IY1', 'S'], ['K', 'UH1', 'D'], ['S', 'N', 'IY1', 'Z'], ['AH0', 'N', 'D'], ['F', 'IY1', 'D'], ['AH0', 'N', 'D'], ['F', 'R', 'IY1', 'Z'], ['DH', 'AH0'], ['F', 'L', 'IY1', 'Z']]","['D520', 'S200', 'T000', 'F420', 'D520', 'S200', 'T000', 'F420', 'A300', 'L230', 'D520', 'C430', 'S520', 'A530', 'F300', 'A530', 'F620', 'T000', 'F420']"
Coy knows pseudonoise codes.,"[['K', 'OY1'], ['N', 'OW1', 'Z'], ['S', 'UW1', 'D', 'AH0', 'N', 'OY2', 'Z'], ['K', 'OW1', 'D', 'Z']]","['C000', 'K520', 'P235', 'C320']"
"Sheena leads, Sheila needs.","[['SH', 'IY1', 'N', 'AH0'], ['L', 'IY1', 'D', 'Z'], ['SH', 'IY1', 'L', 'AH0'], ['N', 'IY1', 'D', 'Z']]","['S500', 'L320', 'S400', 'N320']"
The thirty-three thieves thought that they thrilled the throne throughout Thursday.,"[['DH', 'AH0'], ['TH', 'ER1', 'T', 'R', 'AY2', 'TH'], ['TH', 'IY1', 'V', 'Z'], ['TH', 'AO1', 'T'], ['DH', 'AE1', 'T'], ['DH', 'EY1'], ['TH', 'R', 'IH1', 'L', 'D'], ['DH', 'AH0'], ['TH', 'R', 'OW1', 'N'], ['TH', 'R', 'UW0', 'AW1', 'T'], ['TH', 'ER1', 'Z', 'D', 'EY2']]","['T000', 'T633', 'T120', 'T230', 'T300', 'T000', 'T643', 'T000', 'T650', 'T623', 'T623']"
"Something in a thirty-acre thermal thicket of thorns and thistles thumped and thundered threatening the three-D thoughts of Matthew the thug - although, theatrically, it was only the thirteen-thousand thistles and thorns through the underneath of his thigh that the thirty year old thug thought of that morning.","[['S', 'AH1', 'M', 'TH', 'IH0', 'NG'], ['IH0', 'N'], ['AH0'], ['TH', 'ER1', 'T', 'IY0', 'AA2', 'K', 'S'], ['TH', 'ER1', 'M', 'AH0', 'L'], ['TH', 'IH1', 'K', 'IH0', 'T'], ['AH1', 'V'], ['TH', 'AO1', 'R', 'N', 'Z'], ['AH0', 'N', 'D'], ['TH', 'IH1', 'S', 'AH0', 'L', 'Z'], ['TH', 'AH1', 'M', 'P', 'T'], ['AH0', 'N', 'D'], ['TH', 'AH1', 'N', 'D', 'ER0', 'D'], ['TH', 'R', 'EH1', 'T', 'AH0', 'N', 'IH0', 'NG'], ['DH', 'AH0'], ['TH', 'R', 'IY1', 'D'], ['TH', 'AO1', 'T', 'S'], ['AH1', 'V'], ['M', 'AE1', 'TH', 'Y', 'UW0'], ['DH', 'AH0'], ['TH', 'AH1', 'G'], [], ['AO2', 'L', 'DH', 'OW1'], ['TH', 'IY0', 'AE1', 'T', 'R', 'IH0', 'K', 'AH0', 'L', 'IY0'], ['IH1', 'T'], ['W', 'AA1', 'Z'], ['OW1', 'N', 'L', 'IY0'], ['DH', 'AH0'], ['TH', 'ER1', 'T', 'IH0', 'N', 'HH', 'AW2', 'T', 'AH0', 'N', 'D'], ['TH', 'IH1', 'S', 'AH0', 'L', 'Z'], ['AH0', 'N', 'D'], ['TH', 'AO1', 'R', 'N', 'Z'], ['TH', 'R', 'UW1'], ['DH', 'AH0'], ['AH2', 'N', 'D', 'ER0', 'N', 'IY1', 'TH'], ['AH1', 'V'], ['HH', 'IH1', 'Z'], ['TH', 'AY1'], ['DH', 'AE1', 'T'], ['DH', 'AH0'], ['TH', 'ER1', 'D', 'IY0'], ['Y', 'IH1', 'R'], ['OW1', 'L', 'D'], ['TH', 'AH1', 'G'], ['TH', 'AO1', 'T'], ['AH1', 'V'], ['DH', 'AE1', 'T'], ['M', 'AO1', 'R', 'N', 'IH0', 'NG']]","['S535', 'I500', 'A000', 'T632', 'T654', 'T230', 'O100', 'T652', 'A530', 'T234', 'T513', 'A530', 'T536', 'T635', 'T000', 'T630', 'T232', 'O100', 'M300', 'T000', 'T200', 'A432', 'T362', 'I300', 'W200', 'O540', 'T000', 'T635', 'T234', 'A530', 'T652', 'T620', 'T000', 'U536', 'O100', 'H200', 'T200', 'T300', 'T000', 'T630', 'Y600', 'O430', 'T200', 'T230', 'O100', 'T300', 'M655']"
Can you can a can as a canner can can a can?,"[['K', 'AE1', 'N'], ['Y', 'UW1'], ['K', 'AE1', 'N'], ['AH0'], ['K', 'AE1', 'N'], ['AE1', 'Z'], ['AH0'], ['K', 'AE1', 'N', 'ER0'], ['K', 'AE1', 'N'], ['K', 'AE1', 'N'], ['AH0'], ['K', 'AE1', 'N']]","['C500', 'Y000', 'C500', 'A000', 'C500', 'A200', 'A000', 'C560', 'C500', 'C500', 'A000', 'C500']"
Seth at Sainsbury's sells thick socks.,"[['S', 'EH1', 'TH'], ['AE1', 'T'], ['S', 'EY1', 'N', 'S', 'B', 'ER0', 'IY0', 'Z'], ['S', 'EH1', 'L', 'Z'], ['TH', 'IH1', 'K'], ['S', 'AA1', 'K', 'S']]","['S300', 'A300', 'S521', 'S420', 'T200', 'S200']"
"You cuss, I cuss, we all cuss, for asparagus!","[['Y', 'UW1'], ['K', 'AH1', 'S'], ['AY1'], ['K', 'AH1', 'S'], ['W', 'IY1'], ['AO1', 'L'], ['K', 'AH1', 'S'], ['F', 'AO1', 'R'], ['AH0', 'S', 'P', 'EH1', 'R', 'AH0', 'G', 'AH0', 'S']]","['Y000', 'C200', 'I000', 'C200', 'W000', 'A400', 'C200', 'F600', 'A216']"
Roberta ran rings around the Roman ruins.,"[['R', 'AH0', 'B', 'ER1', 'T', 'AH0'], ['R', 'AE1', 'N'], ['R', 'IH1', 'NG', 'Z'], ['ER0', 'AW1', 'N', 'D'], ['DH', 'AH0'], ['R', 'OW1', 'M', 'AH0', 'N'], ['R', 'UW1', 'AH0', 'N', 'Z']]","['R163', 'R500', 'R520', 'A653', 'T000', 'R550', 'R520']"
Clean clams crammed in clean cans.,"[['K', 'L', 'IY1', 'N'], ['K', 'L', 'AE1', 'M', 'Z'], ['K', 'R', 'AE1', 'M', 'D'], ['IH0', 'N'], ['K', 'L', 'IY1', 'N'], ['K', 'AE1', 'N', 'Z']]","['C450', 'C452', 'C653', 'I500', 'C450', 'C520']"
Six sick hicks nick six slick bricks with picks and sticks.,"[['S', 'IH1', 'K', 'S'], ['S', 'IH1', 'K'], ['HH', 'IH1', 'K', 'S'], ['N', 'IH1', 'K'], ['S', 'IH1', 'K', 'S'], ['S', 'L', 'IH1', 'K'], ['B', 'R', 'IH1', 'K', 'S'], ['W', 'IH1', 'DH'], ['P', 'IH1', 'K', 'S'], ['AH0', 'N', 'D'], ['S', 'T', 'IH1', 'K', 'S']]","['S200', 'S200', 'H200', 'N200', 'S200', 'S420', 'B620', 'W300', 'P200', 'A530', 'S320']"
"I wish to wish the wish you wish to wish, but if you wish the wish the witch wishes, I won't wish the wish you wish to wish.","[['AY1'], ['W', 'IH1', 'SH'], ['T', 'UW1'], ['W', 'IH1', 'SH'], ['DH', 'AH0'], ['W', 'IH1', 'SH'], ['Y', 'UW1'], ['W', 'IH1', 'SH'], ['T', 'UW1'], ['W', 'IH1', 'SH'], ['B', 'AH1', 'T'], ['IH1', 'F'], ['Y', 'UW1'], ['W', 'IH1', 'SH'], ['DH', 'AH0'], ['W', 'IH1', 'SH'], ['DH', 'AH0'], ['W', 'IH1', 'CH'], ['W', 'IH1', 'SH', 'IH0', 'Z'], ['AY1'], ['W', 'OW1', 'N', 'T'], ['W', 'IH1', 'SH'], ['DH', 'AH0'], ['W', 'IH1', 'SH'], ['Y', 'UW1'], ['W', 'IH1', 'SH'], ['T', 'UW1'], ['W', 'IH1', 'SH']]","['I000', 'W200', 'T000', 'W200', 'T000', 'W200', 'Y000', 'W200', 'T000', 'W200', 'B300', 'I100', 'Y000', 'W200', 'T000', 'W200', 'T000', 'W320', 'W220', 'I000', 'W530', 'W200', 'T000', 'W200', 'Y000', 'W200', 'T000', 'W200']"
Stupid superstition!,"[['S', 'T', 'UW1', 'P', 'AH0', 'D'], ['S', 'UW2', 'P', 'ER0', 'S', 'T', 'IH1', 'SH', 'AH0', 'N']]","['S313', 'S162']"
