text,phonemes,soundex,Soundexanzahl,Phonemanzahl,AnzahlSätze,Wortanzahl,Wortlängen,VarWortlängen
"Peter Piper picked a peck of pickled peppers. A peck of pickled peppers Peter Piper picked. If Peter Piper picked a peck of pickled peppers, Where's the peck of pickled peppers Peter Piper picked?","[['P', 'IY1', 'T', 'ER0'], ['P', 'AY1', 'P', 'ER0'], ['P', 'IH1', 'K', 'T'], ['AH0'], ['P', 'EH1', 'K'], ['AH1', 'V'], ['P', 'IH1', 'K', 'AH0', 'L', 'D'], ['P', 'EH1', 'P', 'ER0', 'Z'], ['AH0'], ['P', 'EH1', 'K'], ['AH1', 'V'], ['P', 'IH1', 'K', 'AH0', 'L', 'D'], ['P', 'EH1', 'P', 'ER0', 'Z'], ['P', 'IY1', 'T', 'ER0'], ['P', 'AY1', 'P', 'ER0'], ['P', 'IH1', 'K', 'T'], ['IH1', 'F'], ['P', 'IY1', 'T', 'ER0'], ['P', 'AY1', 'P', 'ER0'], ['P', 'IH1', 'K', 'T'], ['AH0'], ['P', 'EH1', 'K'], ['AH1', 'V'], ['P', 'IH1', 'K', 'AH0', 'L', 'D'], ['P', 'EH1', 'P', 'ER0', 'Z'], ['W', 'EH1', 'R', 'Z'], ['DH', 'AH0'], ['P', 'EH1', 'K'], ['AH1', 'V'], ['P', 'IH1', 'K', 'AH0', 'L', 'D'], ['P', 'EH1', 'P', 'ER0', 'Z'], ['P', 'IY1', 'T', 'ER0'], ['P', 'AY1', 'P', 'ER0'], ['P', 'IH1', 'K', 'T']]","['P360', 'P160', 'P230', 'A000', 'P200', 'O100', 'P243', 'P162', 'A000', 'P200', 'O100', 'P243', 'P162', 'P360', 'P160', 'P230', 'I100', 'P360', 'P160', 'P230', 'A000', 'P200', 'O100', 'P243', 'P162', 'W620', 'T000', 'P200', 'O100', 'P243', 'P162', 'P360', 'P160', 'P230']","{'P360': 4, 'P160': 4, 'P230': 4, 'A000': 3, 'P200': 4, 'O100': 4, 'P243': 4, 'P162': 4, 'I100': 1, 'W620': 1, 'T000': 1}","{'P': 32, 'IY1': 4, 'T': 8, 'ER0': 12, 'AY1': 4, 'IH1': 9, 'K': 12, 'AH0': 8, 'EH1': 9, 'AH1': 4, 'V': 4, 'L': 4, 'D': 4, 'Z': 5, 'F': 1, 'W': 1, 'R': 1, 'DH': 1}",3,34,"[5, 5, 6, 1, 4, 2, 7, 8, 1, 4, 2, 7, 7, 5, 5, 7, 2, 5, 5, 6, 1, 4, 2, 7, 8, 7, 3, 4, 2, 7, 7, 5, 5, 7]",4.575259515570934
"I saw Susie sitting in a shoe shine shop. Where she sits she shines, and where she shines she sits.","[['AY1'], ['S', 'AO1'], ['S', 'UW1', 'Z', 'IY0'], ['S', 'IH1', 'T', 'IH0', 'NG'], ['IH0', 'N'], ['AH0'], ['SH', 'UW1'], ['SH', 'AY1', 'N'], ['SH', 'AA1', 'P'], ['W', 'EH1', 'R'], ['SH', 'IY1'], ['S', 'IH1', 'T', 'S'], ['SH', 'IY1'], ['SH', 'AY1', 'N', 'Z'], ['AH0', 'N', 'D'], ['W', 'EH1', 'R'], ['SH', 'IY1'], ['SH', 'AY1', 'N', 'Z'], ['SH', 'IY1'], ['S', 'IH1', 'T', 'S']]","['I000', 'S000', 'S200', 'S352', 'I500', 'A000', 'S000', 'S500', 'S100', 'W600', 'S000', 'S320', 'S000', 'S520', 'A530', 'W600', 'S000', 'S520', 'S000', 'S320']","{'I000': 1, 'S000': 6, 'S200': 1, 'S352': 1, 'I500': 1, 'A000': 1, 'S500': 1, 'S100': 1, 'W600': 2, 'S320': 2, 'S520': 2, 'A530': 1}","{'AY1': 4, 'S': 7, 'AO1': 1, 'UW1': 2, 'Z': 3, 'IY0': 1, 'IH1': 3, 'T': 3, 'IH0': 2, 'NG': 1, 'N': 5, 'AH0': 2, 'SH': 9, 'AA1': 1, 'P': 1, 'W': 2, 'EH1': 2, 'R': 2, 'IY1': 4, 'D': 1}",2,20,"[1, 3, 5, 7, 2, 1, 4, 5, 5, 5, 3, 4, 3, 7, 3, 5, 3, 6, 3, 5]",2.8
How many boards Could the Mongols hoard If the Mongol hordes got bored?,"[['HH', 'AW1'], ['M', 'EH1', 'N', 'IY0'], ['B', 'AO1', 'R', 'D', 'Z'], ['K', 'UH1', 'D'], ['DH', 'AH0'], ['M', 'AA1', 'NG', 'G', 'AH0', 'L', 'Z'], ['HH', 'AO1', 'R', 'D'], ['IH1', 'F'], ['DH', 'AH0'], ['M', 'AA1', 'NG', 'G', 'AH0', 'L'], ['HH', 'AO1', 'R', 'D', 'Z'], ['G', 'AA1', 'T'], ['B', 'AO1', 'R', 'D']]","['H000', 'M500', 'B632', 'C430', 'T000', 'M524', 'H630', 'I100', 'T000', 'M524', 'H632', 'G300', 'B630']","{'H000': 1, 'M500': 1, 'B632': 1, 'C430': 1, 'T000': 2, 'M524': 2, 'H630': 1, 'I100': 1, 'H632': 1, 'G300': 1, 'B630': 1}","{'HH': 3, 'AW1': 1, 'M': 3, 'EH1': 1, 'N': 1, 'IY0': 1, 'B': 2, 'AO1': 4, 'R': 4, 'D': 5, 'Z': 3, 'K': 1, 'UH1': 1, 'DH': 2, 'AH0': 4, 'AA1': 3, 'NG': 2, 'G': 3, 'L': 2, 'IH1': 1, 'F': 1, 'T': 1}",1,13,"[3, 4, 6, 5, 3, 7, 5, 2, 3, 6, 6, 3, 6]",2.4023668639053253
How can a clam cram in a clean cream can?,"[['HH', 'AW1'], ['K', 'AE1', 'N'], ['AH0'], ['K', 'L', 'AE1', 'M'], ['K', 'R', 'AE1', 'M'], ['IH0', 'N'], ['AH0'], ['K', 'L', 'IY1', 'N'], ['K', 'R', 'IY1', 'M'], ['K', 'AE1', 'N']]","['H000', 'C500', 'A000', 'C450', 'C650', 'I500', 'A000', 'C450', 'C650', 'C500']","{'H000': 1, 'C500': 2, 'A000': 2, 'C450': 2, 'C650': 2, 'I500': 1}","{'HH': 1, 'AW1': 1, 'K': 6, 'AE1': 4, 'N': 4, 'AH0': 2, 'L': 2, 'M': 3, 'R': 2, 'IH0': 1, 'IY1': 2}",1,10,"[3, 3, 1, 4, 4, 2, 1, 5, 5, 4]",1.9600000000000002
Send toast to ten tense stout saints' ten tall tents.,"[['S', 'EH1', 'N', 'D'], ['T', 'OW1', 'S', 'T'], ['T', 'UW1'], ['T', 'EH1', 'N'], ['T', 'EH1', 'N', 'S'], ['S', 'T', 'AW1', 'T'], ['S', 'EY1', 'N', 'T', 'S'], ['T', 'EH1', 'N'], ['T', 'AO1', 'L'], ['T', 'EH1', 'N', 'T', 'S']]","['S530', 'T230', 'T000', 'T500', 'T520', 'S330', 'S532', 'T500', 'T400', 'T532']","{'S530': 1, 'T230': 1, 'T000': 1, 'T500': 2, 'T520': 1, 'S330': 1, 'S532': 1, 'T400': 1, 'T532': 1}","{'S': 7, 'EH1': 5, 'N': 6, 'D': 1, 'T': 12, 'OW1': 1, 'UW1': 1, 'AW1': 1, 'EY1': 1, 'AO1': 1, 'L': 1}",1,10,"[4, 5, 2, 3, 5, 5, 7, 3, 4, 6]",2.04
"Denise sees the fleece, Denise sees the fleas. At least Denise could sneeze and feed and freeze the fleas.","[['D', 'IH0', 'N', 'IY1', 'S'], ['S', 'IY1', 'Z'], ['DH', 'AH0'], ['F', 'L', 'IY1', 'S'], ['D', 'IH0', 'N', 'IY1', 'S'], ['S', 'IY1', 'Z'], ['DH', 'AH0'], ['F', 'L', 'IY1', 'Z'], ['AE1', 'T'], ['L', 'IY1', 'S', 'T'], ['D', 'IH0', 'N', 'IY1', 'S'], ['K', 'UH1', 'D'], ['S', 'N', 'IY1', 'Z'], ['AH0', 'N', 'D'], ['F', 'IY1', 'D'], ['AH0', 'N', 'D'], ['F', 'R', 'IY1', 'Z'], ['DH', 'AH0'], ['F', 'L', 'IY1', 'Z']]","['D520', 'S200', 'T000', 'F420', 'D520', 'S200', 'T000', 'F420', 'A300', 'L230', 'D520', 'C430', 'S520', 'A530', 'F300', 'A530', 'F620', 'T000', 'F420']","{'D520': 3, 'S200': 2, 'T000': 3, 'F420': 3, 'A300': 1, 'L230': 1, 'C430': 1, 'S520': 1, 'A530': 2, 'F300': 1, 'F620': 1}","{'D': 7, 'IH0': 3, 'N': 6, 'IY1': 12, 'S': 8, 'Z': 6, 'DH': 3, 'AH0': 5, 'F': 5, 'L': 4, 'AE1': 1, 'T': 2, 'K': 1, 'UH1': 1, 'R': 1}",2,19,"[6, 4, 3, 7, 6, 4, 3, 6, 2, 5, 6, 5, 6, 3, 4, 3, 6, 3, 6]",2.127423822714681
Coy knows pseudonoise codes.,"[['K', 'OY1'], ['N', 'OW1', 'Z'], ['S', 'UW1', 'D', 'AH0', 'N', 'OY2', 'Z'], ['K', 'OW1', 'D', 'Z']]","['C000', 'K520', 'P235', 'C320']","{'C000': 1, 'K520': 1, 'P235': 1, 'C320': 1}","{'K': 2, 'OY1': 1, 'N': 2, 'OW1': 2, 'Z': 3, 'S': 1, 'UW1': 1, 'D': 2, 'AH0': 1, 'OY2': 1}",1,4,"[3, 5, 11, 6]",8.6875
"Sheena leads, Sheila needs.","[['SH', 'IY1', 'N', 'AH0'], ['L', 'IY1', 'D', 'Z'], ['SH', 'IY1', 'L', 'AH0'], ['N', 'IY1', 'D', 'Z']]","['S500', 'L320', 'S400', 'N320']","{'S500': 1, 'L320': 1, 'S400': 1, 'N320': 1}","{'SH': 2, 'IY1': 4, 'N': 2, 'AH0': 2, 'L': 2, 'D': 2, 'Z': 2}",1,4,"[6, 6, 6, 6]",0.0
The thirty-three thieves thought that they thrilled the throne throughout Thursday.,"[['DH', 'AH0'], ['TH', 'ER1', 'T', 'R', 'AY2', 'TH'], ['TH', 'IY1', 'V', 'Z'], ['TH', 'AO1', 'T'], ['DH', 'AE1', 'T'], ['DH', 'EY1'], ['TH', 'R', 'IH1', 'L', 'D'], ['DH', 'AH0'], ['TH', 'R', 'OW1', 'N'], ['TH', 'R', 'UW0', 'AW1', 'T'], ['TH', 'ER1', 'Z', 'D', 'EY2']]","['T000', 'T633', 'T120', 'T230', 'T300', 'T000', 'T643', 'T000', 'T650', 'T623', 'T623']","{'T000': 3, 'T633': 1, 'T120': 1, 'T230': 1, 'T300': 1, 'T643': 1, 'T650': 1, 'T623': 2}","{'DH': 4, 'AH0': 2, 'TH': 8, 'ER1': 2, 'T': 4, 'R': 4, 'AY2': 1, 'IY1': 1, 'V': 1, 'Z': 2, 'AO1': 1, 'AE1': 1, 'EY1': 1, 'IH1': 1, 'L': 1, 'D': 2, 'OW1': 1, 'N': 1, 'UW0': 1, 'AW1': 1, 'EY2': 1}",1,11,"[3, 12, 7, 7, 4, 4, 8, 3, 6, 10, 9]",8.049586776859504
"Something in a thirty-acre thermal thicket of thorns and thistles thumped and thundered threatening the three-D thoughts of Matthew the thug - although, theatrically, it was only the thirteen-thousand thistles and thorns through the underneath of his thigh that the thirty year old thug thought of that morning.","[['S', 'AH1', 'M', 'TH', 'IH0', 'NG'], ['IH0', 'N'], ['AH0'], ['TH', 'ER1', 'T', 'IY0', 'AA2', 'K', 'S'], ['TH', 'ER1', 'M', 'AH0', 'L'], ['TH', 'IH1', 'K', 'IH0', 'T'], ['AH1', 'V'], ['TH', 'AO1', 'R', 'N', 'Z'], ['AH0', 'N', 'D'], ['TH', 'IH1', 'S', 'AH0', 'L', 'Z'], ['TH', 'AH1', 'M', 'P', 'T'], ['AH0', 'N', 'D'], ['TH', 'AH1', 'N', 'D', 'ER0', 'D'], ['TH', 'R', 'EH1', 'T', 'AH0', 'N', 'IH0', 'NG'], ['DH', 'AH0'], ['TH', 'R', 'IY1', 'D'], ['TH', 'AO1', 'T', 'S'], ['AH1', 'V'], ['M', 'AE1', 'TH', 'Y', 'UW0'], ['DH', 'AH0'], ['TH', 'AH1', 'G'], ['AO2', 'L', 'DH', 'OW1'], ['TH', 'IY0', 'AE1', 'T', 'R', 'IH0', 'K', 'AH0', 'L', 'IY0'], ['IH1', 'T'], ['W', 'AA1', 'Z'], ['OW1', 'N', 'L', 'IY0'], ['DH', 'AH0'], ['TH', 'ER1', 'T', 'IH0', 'N', 'HH', 'AW2', 'T', 'AH0', 'N', 'D'], ['TH', 'IH1', 'S', 'AH0', 'L', 'Z'], ['AH0', 'N', 'D'], ['TH', 'AO1', 'R', 'N', 'Z'], ['TH', 'R', 'UW1'], ['DH', 'AH0'], ['AH2', 'N', 'D', 'ER0', 'N', 'IY1', 'TH'], ['AH1', 'V'], ['HH', 'IH1', 'Z'], ['TH', 'AY1'], ['DH', 'AE1', 'T'], ['DH', 'AH0'], ['TH', 'ER1', 'D', 'IY0'], ['Y', 'IH1', 'R'], ['OW1', 'L', 'D'], ['TH', 'AH1', 'G'], ['TH', 'AO1', 'T'], ['AH1', 'V'], ['DH', 'AE1', 'T'], ['M', 'AO1', 'R', 'N', 'IH0', 'NG']]","['S535', 'I500', 'A000', 'T632', 'T654', 'T230', 'O100', 'T652', 'A530', 'T234', 'T513', 'A530', 'T536', 'T635', 'T000', 'T630', 'T232', 'O100', 'M300', 'T000', 'T200', 'A432', 'T362', 'I300', 'W200', 'O540', 'T000', 'T635', 'T234', 'A530', 'T652', 'T620', 'T000', 'U536', 'O100', 'H200', 'T200', 'T300', 'T000', 'T630', 'Y600', 'O430', 'T200', 'T230', 'O100', 'T300', 'M655']","{'S535': 1, 'I500': 1, 'A000': 1, 'T632': 1, 'T654': 1, 'T230': 2, 'O100': 4, 'T652': 2, 'A530': 3, 'T234': 2, 'T513': 1, 'T536': 1, 'T635': 2, 'T000': 5, 'T630': 2, 'T232': 1, 'M300': 1, 'T200': 3, 'A432': 1, 'T362': 1, 'I300': 1, 'W200': 1, 'O540': 1, 'T620': 1, 'U536': 1, 'H200': 1, 'T300': 2, 'Y600': 1, 'O430': 1, 'M655': 1}","{'S': 5, 'AH1': 9, 'M': 5, 'TH': 23, 'IH0': 7, 'NG': 3, 'N': 14, 'AH0': 15, 'ER1': 4, 'T': 12, 'IY0': 5, 'AA2': 1, 'K': 3, 'L': 7, 'IH1': 6, 'V': 4, 'AO1': 5, 'R': 8, 'Z': 6, 'D': 10, 'P': 1, 'ER0': 2, 'EH1': 1, 'DH': 8, 'IY1': 2, 'AE1': 4, 'Y': 2, 'UW0': 1, 'G': 2, 'AO2': 1, 'OW1': 3, 'W': 1, 'AA1': 1, 'HH': 2, 'AW2': 1, 'UW1': 1, 'AH2': 1, 'AY1': 1}",1,48,"[9, 2, 1, 11, 7, 7, 2, 6, 3, 8, 7, 3, 9, 11, 3, 7, 8, 2, 7, 3, 4, 1, 9, 13, 2, 3, 4, 3, 17, 8, 3, 6, 7, 3, 10, 2, 3, 5, 4, 3, 6, 4, 3, 4, 7, 2, 4, 8]",11.333333333333334
